prompt	variant	frob_rel_l2	mean_pos_rel_l2	median_pos_rel_l2	gap_removed_frac_frob	gap_removed_frac_mean	pos_rel_l2
p3	off	0.040229	0.041500	0.037755	0.000000	0.000000	
p3	on	0.036117	0.038183	0.035224	0.102196	0.079944	
p3	only-Q4_K	0.039936	0.041255	0.037513	0.007284	0.005925	
p3	only-Q5_K	0.037573	0.039211	0.036686	0.066011	0.055163	
p3	only-Q6_K	0.040582	0.042333	0.037876	-0.008775	-0.020061	
p3	only-Q8_0	0.038813	0.040608	0.038213	0.035183	0.021515	
