prompt	variant	frob_rel_l2	mean_pos_rel_l2	median_pos_rel_l2	gap_removed_frac_frob	gap_removed_frac_mean	pos_rel_l2
p1	off	0.031619	0.032024	0.030915	0.000000	0.000000	
p1	on	0.031376	0.031908	0.030769	0.007667	0.003636	
p1	only-Q4_K	0.031503	0.031847	0.031170	0.003672	0.005532	
p1	only-Q5_K	0.030536	0.030865	0.030002	0.034257	0.036203	
p1	only-Q6_K	0.032629	0.033019	0.031514	-0.031959	-0.031047	
p1	only-Q8_0	0.031037	0.031441	0.030820	0.018405	0.018233	
