label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	3	attn_residual-3	3	full_attention	mixer	0.026157	0.031025	0.004868	0.999519	attn_output-3	0.041841	0.999128
p4	3	l_out-3	3	full_attention	ffn	0.031025	0.041159	0.010134	0.999162	ffn_out-3	0.054565	0.998515
p4	3	attn_residual-4	4	linear_gated_deltanet	mixer	0.041159	0.041155	-0.000004	0.999154	linear_attn_out-4	0.059037	0.998272
p4	3	l_out-4	4	linear_gated_deltanet	ffn	0.041155	0.052058	0.010903	0.998653	ffn_out-4	0.071401	0.997482
p4	3	attn_residual-5	5	linear_gated_deltanet	mixer	0.052058	0.054681	0.002623	0.998510	linear_attn_out-5	0.071859	0.997419
p4	3	l_out-5	5	linear_gated_deltanet	ffn	0.054681	0.057027	0.002346	0.998382	ffn_out-5	0.081888	0.996642
p4	3	attn_residual-6	6	linear_gated_deltanet	mixer	0.057027	0.054777	-0.002250	0.998500	linear_attn_out-6	0.066090	0.997919
p4	3	l_out-6	6	linear_gated_deltanet	ffn	0.054777	0.057814	0.003037	0.998331	ffn_out-6	0.083233	0.996533
p4	3	attn_residual-7	7	full_attention	mixer	0.057814	0.063177	0.005363	0.998017	attn_output-7	0.073452	0.997337
p4	3	l_out-7	7	full_attention	ffn	0.063177	0.070239	0.007062	0.997551	ffn_out-7	0.096801	0.995304
p4	3	attn_residual-8	8	linear_gated_deltanet	mixer	0.070239	0.069700	-0.000539	0.997595	linear_attn_out-8	0.109632	0.994199
p4	3	l_out-8	8	linear_gated_deltanet	ffn	0.069700	0.074698	0.004998	0.997231	ffn_out-8	0.117852	0.993113
p4	3	attn_residual-9	9	linear_gated_deltanet	mixer	0.074698	0.074161	-0.000537	0.997251	linear_attn_out-9	0.126255	0.992169
p4	3	l_out-9	9	linear_gated_deltanet	ffn	0.074161	0.074733	0.000572	0.997211	ffn_out-9	0.134354	0.991043
p4	3	attn_residual-10	10	linear_gated_deltanet	mixer	0.074733	0.071999	-0.002734	0.997406	linear_attn_out-10	0.099925	0.995018
p4	3	l_out-10	10	linear_gated_deltanet	ffn	0.071999	0.075580	0.003581	0.997141	ffn_out-10	0.100631	0.994926
p4	3	attn_residual-11	11	full_attention	mixer	0.075580	0.079447	0.003867	0.996846	attn_output-11	0.089226	0.996012
p4	3	l_out-11	11	full_attention	ffn	0.079447	0.083806	0.004359	0.996491	ffn_out-11	0.127644	0.992028
p4	3	attn_residual-12	12	linear_gated_deltanet	mixer	0.083806	0.080769	-0.003037	0.996734	linear_attn_out-12	0.127089	0.992744
p4	3	l_out-12	12	linear_gated_deltanet	ffn	0.080769	0.081650	0.000881	0.996661	ffn_out-12	0.126715	0.991941
p4	3	attn_residual-13	13	linear_gated_deltanet	mixer	0.081650	0.077381	-0.004269	0.997003	linear_attn_out-13	0.078324	0.996988
p4	3	l_out-13	13	linear_gated_deltanet	ffn	0.077381	0.080823	0.003442	0.996729	ffn_out-13	0.120134	0.992834
p4	3	attn_residual-14	14	linear_gated_deltanet	mixer	0.080823	0.079344	-0.001479	0.996849	linear_attn_out-14	0.073861	0.997269
p4	3	l_out-14	14	linear_gated_deltanet	ffn	0.079344	0.078144	-0.001200	0.996948	ffn_out-14	0.092628	0.995709
p4	3	attn_residual-15	15	full_attention	mixer	0.078144	0.083872	0.005728	0.996485	attn_output-15	0.096964	0.995389
p4	3	l_out-15	15	full_attention	ffn	0.083872	0.082776	-0.001096	0.996570	ffn_out-15	0.102773	0.994706
p4	3	attn_residual-16	16	linear_gated_deltanet	mixer	0.082776	0.080685	-0.002091	0.996742	linear_attn_out-16	0.092665	0.995850
