label	pos	idx	tensor	layer	n	bit_equal	rel_l2	max_abs	llama_first4	apr_first4
orig	4	98	l_out-5	5	1024	0	1.087723e-02	2.833798e-03	-0.622815132,0.0555555969,-0.251598716,0.0131165674	-0.623592615,0.0544983074,-0.251878589,0.0149634024
orig	4	99	attn_norm-6	6	1024	0	1.165044e-02	6.559440e-02	-11.0059214,1.2721343,-5.57049227,0.318162203	-11.0139713,1.24727988,-5.5738101,0.362772584
orig	4	100	conv_output_silu-6	6	6144	0	7.266596e-03	1.310870e-02	0.0243653264,-0.155336857,-0.00751747936,0.0564884767	0.0197589453,-0.155988693,-0.0072644921,0.0512052998
orig	4	101	q_conv_predelta-6	6	2048	0	1.267195e-02	9.632733e-03	0.0138389897,-0.0882280469,-0.00426976942,0.0320842601	0.0112387668,-0.088725403,-0.0041319984,0.0291252583
orig	4	102	k_conv_predelta-6	6	2048	0	6.419427e-03	6.969986e-03	0.0478875265,-0.0389394872,-0.00917188358,0.01491684	0.0479209274,-0.03894547,-0.00973363779,0.0150986379
orig	4	103	v_conv_predelta-6	6	2048	0	2.188145e-03	4.550636e-03	-0.0058688703,-0.00042405905,-0.0118916882,0.0120661808	-0.00586965354,-0.000426728919,-0.0118925851,0.0120619023
orig	4	104	a_softplus-6	6	16	0	3.104553e-03	1.004279e-02	0.559966564,0.312118292,0.802556515,0.318915188	0.549923778,0.314030021,0.80324167,0.320113569
orig	4	105	gate-6	6	16	0	4.172715e-03	5.319387e-03	-0.10197749,-0.231946617,-0.244765922,-0.176811025	-0.100148559,-0.233367294,-0.244974881,-0.177475423
orig	4	106	beta_sigmoid-6	6	16	0	3.830650e-03	4.949033e-03	0.763787508,0.421970397,0.664702892,0.617087901	0.761783123,0.417021364,0.664670289,0.61262238
orig	4	107	state_predelta-6	6	262144	695	2.263233e-05	2.634525e-05	-3.68546862e-05,-0.000149208441,0.000444528821,0.000673719391	-3.6856818e-05,-0.000149212152,0.000444544479,0.000673746981
orig	4	108	new_state-6	6	262144	4	3.479980e-03	7.637896e-03	-0.000362753926,0.000133165988,0.000464535435,0.000505772477	-0.00036171297,0.000131873283,0.000468878541,0.000506080512
orig	4	109	attn_output-6	6	2048	0	4.643254e-03	5.983189e-05	2.49079476e-05,2.0271591e-05,-4.03859412e-05,-2.92599707e-05	2.54202751e-05,2.07370267e-05,-4.11417022e-05,-2.99726962e-05
orig	4	110	z-6	6	2048	0	8.664556e-03	6.484270e-02	0.860642195,0.390603006,0.971126556,1.47297132	0.872691929,0.392123938,0.979135215,1.47098422
orig	4	111	final_output-6	6	2048	0	1.640579e-02	1.532125e-02	0.0121170161,0.00436475687,-0.0259898733,-0.0345278233	0.0125617879,0.00447712606,-0.0267055761,-0.0352452137
