label	pos	idx	tensor	layer	n	bit_equal	rel_l2	max_abs	llama_first4	apr_first4
p4	1	463	beta_sigmoid-5	5	16	16	0.000000e+00	0.000000e+00	0.887998581,0.759987533,0.86653024,0.851734102	0.887998581,0.759987533,0.86653024,0.851734102
p4	1	464	state_predelta-5	5	262144	20936	1.788338e-07	3.576279e-07	4.83950879e-09,-2.23015366e-08,3.8382359e-06,-9.39016118e-08	4.8394786e-09,-2.23014531e-08,3.83821771e-06,-9.39011713e-08
p4	1	465	new_state-5	5	262144	19915	1.972715e-07	4.768372e-07	-1.49473738e-06,2.77657127e-05,-0.000689413107,8.43098678e-05	-1.49473829e-06,2.77656054e-05,-0.00068940944,8.43094385e-05
p4	1	466	attn_output-5	5	2048	121	2.304630e-07	1.117587e-08	8.30572117e-06,-7.40730138e-06,-2.28349327e-05,1.60847285e-05	8.30567933e-06,-7.40727501e-06,-2.28349327e-05,1.60847121e-05
p4	1	467	z-5	5	2048	234	2.331652e-07	1.907349e-06	0.80908525,1.04677963,-0.128341973,1.24412954	0.809084892,1.04677951,-0.128341615,1.24412966
p4	1	468	final_output-5	5	2048	92	4.799784e-07	8.046627e-07	0.00444044685,-0.00528024929,0.00133667293,0.014988129	0.00444042264,-0.00528022926,0.00133666943,0.0149881141
p4	1	469	linear_attn_out-5	5	1024	69	5.680717e-07	3.352761e-08	-0.0843600854,0.0187377408,0.0153673925,-0.0101954415	-0.0843600929,0.018737739,0.015367399,-0.0101954276
p4	1	470	attn_residual-5	5	1024	24	1.046961e-06	2.309680e-07	-0.339245111,0.0270750765,-0.130424693,0.034861654	-0.339245141,0.0270750821,-0.130424649,0.0348616093
p4	1	471	attn_post_norm-5	5	1024	34	1.118328e-06	4.768372e-06	-4.1366725,0.496266484,-2.2706573,0.672392964	-4.13667297,0.496266574,-2.27065659,0.67239207
p4	1	472	ffn_out-5	5	1024	53	5.974574e-07	7.450581e-08	0.155253381,-0.00194318406,-0.000647896435,0.0152157396	0.15525341,-0.00194317894,-0.000647907611,0.0152157098
p4	1	473	l_out-5	5	1024	29	1.165289e-06	2.533197e-07	-0.18399173,0.0251318924,-0.131072596,0.0500773937	-0.18399173,0.0251319036,-0.131072551,0.0500773191
p4	1	474	attn_norm-6	6	1024	28	1.198215e-06	5.841255e-06	-3.36489177,0.5955742,-3.00332689,1.25711679	-3.36489224,0.595574558,-3.00332618,1.25711513
p4	1	475	conv_output_silu-6	6	6144	664	2.448062e-07	9.536743e-07	-0.0951460302,-0.200174272,-0.000844490191,-0.164374128	-0.0951460227,-0.200174257,-0.000844481809,-0.164374128
p4	1	476	q_conv_predelta-6	6	2048	212	3.076829e-07	2.682209e-07	-0.0207286645,-0.0436102822,-0.000183981974,-0.0358108096	-0.0207286645,-0.0436102822,-0.000183980155,-0.0358108096
p4	1	477	k_conv_predelta-6	6	2048	242	3.856655e-07	3.874302e-07	-0.0307146069,0.0288406033,-0.0705605224,0.0849796534	-0.0307146125,0.0288406145,-0.0705605,0.0849796534
p4	1	478	v_conv_predelta-6	6	2048	227	2.796320e-07	9.536743e-07	-0.00213690777,0.00818572287,-0.0014474499,-0.000764081429	-0.00213690777,0.00818572473,-0.0014474499,-0.000764085853
p4	1	479	a_softplus-6	6	16	16	0.000000e+00	0.000000e+00	1.80975068,1.03618443,1.49459875,1.07676077	1.80975068,1.03618443,1.49459875,1.07676077
p4	1	480	gate-6	6	16	16	0.000000e+00	0.000000e+00	-0.329580069,-0.770026863,-0.455826879,-0.596971154	-0.329580069,-0.770026863,-0.455826879,-0.596971154
p4	1	481	beta_sigmoid-6	6	16	16	0.000000e+00	0.000000e+00	0.847949862,0.892963409,0.741965711,0.858062148	0.847949862,0.892963409,0.741965711,0.858062148
p4	1	482	state_predelta-6	6	262144	13861	5.602123e-07	3.054738e-07	2.35597909e-07,-3.0125895e-07,4.39698823e-07,-1.01180535e-06	2.35597952e-07,-3.01259007e-07,4.39698795e-07,-1.01180535e-06
p4	1	483	new_state-6	6	262144	11785	3.560836e-07	5.960464e-07	5.58014435e-05,-5.24543684e-05,0.000128119354,-0.000154647554	5.58014508e-05,-5.24543866e-05,0.000128119311,-0.000154647554
p4	1	484	attn_output-6	6	2048	103	5.117380e-07	1.117587e-08	-3.87144792e-06,1.48224053e-05,-2.60882939e-06,-1.3762849e-06	-3.87144746e-06,1.48224144e-05,-2.60883007e-06,-1.37629252e-06
p4	1	485	z-6	6	2048	216	2.283277e-07	1.907349e-06	-0.29036513,0.227172375,1.07621217,0.46406132	-0.290365249,0.227171972,1.07621241,0.464061618
p4	1	486	final_output-6	6	2048	60	7.252371e-07	4.768372e-07	0.000408393156,0.00182832847,-0.002019312,-0.000407635351	0.000408393214,0.00182832626,-0.00201931316,-0.000407637941
p4	1	487	linear_attn_out-6	6	1024	83	8.661864e-07	7.450581e-08	-0.150667384,-0.0108148158,-0.00443965942,-0.0170018803	-0.150667459,-0.0108148158,-0.00443964638,-0.0170018747
p4	1	488	attn_residual-6	6	1024	25	1.183878e-06	2.533197e-07	-0.3346591,0.0143170767,-0.135512263,0.0330755115	-0.334659189,0.0143170878,-0.135512203,0.0330754444
p4	1	489	attn_post_norm-6	6	1024	32	1.250085e-06	5.125999e-06	-5.20899868,0.272978276,-2.55057907,0.645216346	-5.20900059,0.272978544,-2.55057836,0.645215094
p4	1	490	ffn_out-6	6	1024	43	5.788715e-07	8.940697e-08	0.300223321,0.00873512775,0.0127342623,0.0507861823	0.300223351,0.00873511378,0.0127342278,0.0507861823
p4	1	491	l_out-6	6	1024	31	1.153257e-06	2.831221e-07	-0.0344357789,0.0230522044,-0.122777998,0.0838616937	-0.0344358385,0.0230522007,-0.122777976,0.0838616267
p4	1	492	attn_norm-7	7	1024	35	1.141924e-06	5.096197e-06	-0.551059365,0.392008841,-2.15611553,1.71080446	-0.551060379,0.392008781,-2.15611506,1.71080303
p4	1	493	attn_pregate-7	7	2048	121	1.041750e-06	1.621246e-05	0.0905457512,-0.0450840816,1.46657312,0.0346097685	0.0905456543,-0.0450841933,1.466573,0.0346098915
p4	1	494	attn_gated-7	7	2048	57	5.031847e-07	8.549541e-07	0.015803881,-0.00945126917,0.340599209,0.00732286228	0.0158038605,-0.0094512878,0.34059909,0.00732288742
p4	1	495	attn_output-7	7	1024	40	7.168891e-07	8.940697e-08	-0.242517084,-0.0071831774,0.00475651398,-0.0624224693	-0.242517173,-0.00718318019,0.00475653075,-0.0624224469
p4	1	496	attn_residual-7	7	1024	32	1.380183e-06	2.980232e-07	-0.276952863,0.015869027,-0.118021488,0.0214392245	-0.276953012,0.0158690214,-0.118021443,0.0214391798
p4	1	497	attn_post_norm-7	7	1024	35	1.500761e-06	6.437302e-06	-3.79644823,0.316773146,-2.27173615,0.445306242	-3.7964499,0.316773057,-2.27173519,0.445305318
p4	1	498	ffn_out-7	7	1024	52	6.538291e-07	6.332994e-08	0.0634147972,0.000148977153,0.0282531232,0.00451913103	0.0634147525,0.000148965046,0.0282531269,0.00451912731
p4	1	499	l_out-7	7	1024	27	1.444874e-06	3.185123e-07	-0.213538066,0.0160180032,-0.089768365,0.0259583555	-0.213538259,0.0160179865,-0.0897683203,0.0259583071
p4	1	500	attn_norm-8	8	1024	24	1.555294e-06	8.651987e-06	-4.61259699,0.409322619,-2.08164907,0.71281296	-4.6126008,0.409322172,-2.08164763,0.71281153
p4	1	501	conv_output_silu-8	8	6144	654	3.127554e-07	2.384186e-06	0.00343544385,-0.0159491654,0.122787699,-0.0465391949	0.00343546667,-0.0159491617,0.122787736,-0.0465391949
p4	1	502	q_conv_predelta-8	8	2048	183	3.304439e-07	2.682209e-07	0.00128662854,-0.00597321708,0.045985952,-0.0174296703	0.00128663681,-0.00597321475,0.0459859557,-0.0174296666
p4	1	503	k_conv_predelta-8	8	2048	271	3.339028e-07	2.533197e-07	0.0413170643,-0.101086572,0.0565089248,-0.0373708755	0.0413170531,-0.101086602,0.0565089248,-0.0373708904
p4	1	504	v_conv_predelta-8	8	2048	213	3.026749e-07	2.384186e-06	0.0946211964,0.00123451266,-0.000519858673,-0.0064030583	0.0946211964,0.00123451313,-0.000519853551,-0.00640305504
p4	1	505	a_softplus-8	8	16	16	0.000000e+00	0.000000e+00	0.688179791,0.812565625,0.109976277,0.967059016	0.688179791,0.812565625,0.109976277,0.967059016
p4	1	506	gate-8	8	16	16	0.000000e+00	0.000000e+00	-0.241573825,-0.230992258,-0.0327638946,-0.146004066	-0.241573825,-0.230992258,-0.0327638946,-0.146004066
p4	1	507	beta_sigmoid-8	8	16	16	0.000000e+00	0.000000e+00	0.794898987,0.716275513,0.777524531,0.831059456	0.794898987,0.716275513,0.777524531,0.831059456
p4	1	508	state_predelta-8	8	262144	15208	2.930952e-07	3.576279e-07	0.000109462213,2.51580204e-05,0.000271694706,1.12525768e-05	0.000109462206,2.51580332e-05,0.000271694676,1.12525795e-05
p4	1	509	new_state-8	8	262144	13455	3.540434e-07	8.344650e-07	0.00319909491,-0.00759682897,0.00447117444,-0.00280695222	0.00319909398,-0.0075968313,0.00447117444,-0.00280695339
p4	1	510	attn_output-8	8	2048	119	4.291868e-07	4.097819e-08	-4.34993854e-05,2.44868056e-06,4.73704631e-06,1.03406876e-06	-4.34993708e-05,2.4486817e-06,4.73704631e-06,1.03405989e-06
