0	7.026069	6.97392	819200
1	6.432004	6.233328	1638400
2	6.2579203	5.6561546	2457600
3	6.1786437	5.8387733	3276800
4	6.650466	4.954729	4096000
5	5.5679817	4.572286	4915200
6	5.5752697	5.182326	5734400
7	5.322968	4.9742885	6553600
8	5.3743505	5.175995	7372800
9	5.3307133	5.290835	8192000
10	5.4794617	3.8576977	9011200
11	5.6724434	3.361293	9830400
12	5.4407096	3.8101716	10649600
13	5.18287	4.8342905	11468800
14	5.287656	4.6247826	12288000
15	5.2020836	4.5097413	13107200
16	5.596625	4.4688354	13926400
17	5.0848002	4.5281997	14745600
18	4.9559946	4.524792	15564800
19	4.9305696	4.774969	16384000
20	4.9111676	4.6991215	17203200
21	5.0302644	4.418909	18022400
22	4.933246	4.570085	18841600
23	5.5175085	4.5313544	19660800
24	4.992849	4.1624026	20480000
25	4.9578676	4.1345687	21299200
26	5.0176234	4.7303667	22118400
