name	layer	pos	shape	n_bytes	file	sha256
model.input_embed	-1	0	1024x1x1x1	4096	pos0/model.input_embed.f32	0f2822b1d8f095dda46d1b1c56382d69fe0b941be4f54f9619610de1b68f5800
l_out-0	0	0	1024x1x1x1	4096	pos0/l_out-0.f32	63c6f57cd2831f1e3bc5e7337d24f2dd3a6bdc20e489bc3356d3285c698698f5
l_out-1	1	0	1024x1x1x1	4096	pos0/l_out-1.f32	91a040f186d7a8a5f14bab5fd966272368edc4bd8dc36368dded8144a599ddcd
l_out-2	2	0	1024x1x1x1	4096	pos0/l_out-2.f32	f8e81952fdacd061fbfea9ba9f2abb9580f838c65e0e1a24638f20333395d628
l_out-3	3	0	1024x1x1x1	4096	pos0/l_out-3.f32	d7a2f1787bd2d1a171f5f97c9e932f54408f8214b61a5b06d2ad36ed167970b5
l_out-4	4	0	1024x1x1x1	4096	pos0/l_out-4.f32	b5949bc9ff3658d24ed54fa357eb2bc10c0b23d560e83962ba3fd8fc73a96225
l_out-5	5	0	1024x1x1x1	4096	pos0/l_out-5.f32	b4b973dbd16ddbe43a44b31fda2e9a4be49dcd787bb94fbe0f418bede80c1d38
l_out-6	6	0	1024x1x1x1	4096	pos0/l_out-6.f32	e553ba0d0c61e61edd3d3c58b6e9e853f55c07993d89760af5a62520e7c4abf2
l_out-7	7	0	1024x1x1x1	4096	pos0/l_out-7.f32	9e4510772f59f302112d9dfa72f86942b80be8b0d36908714e20b2fb20c836a3
l_out-8	8	0	1024x1x1x1	4096	pos0/l_out-8.f32	aee023238248c56911a8c82f640e4874b64fd4915e152008edfb91927f27162b
l_out-9	9	0	1024x1x1x1	4096	pos0/l_out-9.f32	d05ca9c35d77441b489c6fd75345e50786171ba8dca2275519d854198577f0c3
l_out-10	10	0	1024x1x1x1	4096	pos0/l_out-10.f32	d0345037ddc6b84792884705ea62fa6d0f92a18185b739b846d1099525c83693
l_out-11	11	0	1024x1x1x1	4096	pos0/l_out-11.f32	7c6629856a5b4abe1d7674ac0d110bc4c2f9b24ade8ff2ef1b7627821c79daab
l_out-12	12	0	1024x1x1x1	4096	pos0/l_out-12.f32	40c1cddfabadad1bd95b1eb17d785b8503a46373a48a0ac2a4c781b011840c64
l_out-13	13	0	1024x1x1x1	4096	pos0/l_out-13.f32	95bad64fedd01deb0f066cbe532ff156b0d465d61f5c7e3f4abb5521bdbaf50e
l_out-14	14	0	1024x1x1x1	4096	pos0/l_out-14.f32	f575bc5704861fc4c2cccbf6b11b4b2849723339fafbfeacdb975e32c5d044d3
l_out-15	15	0	1024x1x1x1	4096	pos0/l_out-15.f32	cd3095f77ff6d0b67ba2ec625321ca2612b2f4fc7c4b496f55c0dfed7f3cc3c7
l_out-16	16	0	1024x1x1x1	4096	pos0/l_out-16.f32	d6dab8d1ba1c93932e00436750e15ac51f97caf7bf9d8371f8ba45794d5dedf9
l_out-17	17	0	1024x1x1x1	4096	pos0/l_out-17.f32	07f5ecd7cc0f70544fce2691344f15b72449ff0745a11749f89c69814e768aaa
l_out-18	18	0	1024x1x1x1	4096	pos0/l_out-18.f32	17087013d8886d7d423607ba8110fbbf281ccaa50354b38c0ff3aa7b6546b62e
l_out-19	19	0	1024x1x1x1	4096	pos0/l_out-19.f32	bb05e3c524c6a12b6ad1cf38ffa5ca82896c77cc45975f1e2c18243940ae56f2
l_out-20	20	0	1024x1x1x1	4096	pos0/l_out-20.f32	207518b6ce46f9c81a90d21913a4d0489adc4315e28bc9238f54df6e60f33111
l_out-21	21	0	1024x1x1x1	4096	pos0/l_out-21.f32	0dbeb6247c3dbc06c76eab759f310b052523af31958485fcd30737fba49ff01a
l_out-22	22	0	1024x1x1x1	4096	pos0/l_out-22.f32	b2e52d4c95f5294772e161ad2859b1b78bf2a2fa48283fa87adeb48641d12849
l_out-23	23	0	1024x1x1x1	4096	pos0/l_out-23.f32	ae37864f0c27f16b874cd53827f5cd1d31108e2e2c36feac44801eb824734247
result_norm	-1	0	1024x1x1x1	4096	pos0/result_norm.f32	2936e51d6b3896c54d6166cb40c22f38186b347e47982d7e6ff32e93696fdfb3
result_output	-1	0	248320x1x1x1	993280	pos0/result_output.f32	0aefaf24f02c7e3c01f1eccd4a6484620ef9befa696ce54b9a3bed202765e405
model.input_embed	-1	1	1024x1x1x1	4096	pos1/model.input_embed.f32	b9fec06cea4b14fb090020ae1ec69a8df58ad272fccdd2bc47423ccc8d689538
l_out-0	0	1	1024x1x1x1	4096	pos1/l_out-0.f32	0c33876a22b57faa43b638b2919f272636c08e659c274eb0a5d87dcc5465037e
l_out-1	1	1	1024x1x1x1	4096	pos1/l_out-1.f32	2b6e8e99636b309621a34622da49b3540143720752dfbbae97d04d5935505f75
l_out-2	2	1	1024x1x1x1	4096	pos1/l_out-2.f32	797376b5a61f684ef545593accee1a76c27dba35cb82dd1a9a16e8cadf9f8a3d
l_out-3	3	1	1024x1x1x1	4096	pos1/l_out-3.f32	27eccefd4944e2899aaee99ff193f524e099421529cacdcd121da0e5795856f1
l_out-4	4	1	1024x1x1x1	4096	pos1/l_out-4.f32	484a0bb45f7f5de82e73f66012ba915738170454f058ad3ae06e28bb633ea6da
l_out-5	5	1	1024x1x1x1	4096	pos1/l_out-5.f32	b985d21d42f84ecc97e8c176292ae3a608ad49cdc5b7609f3a4c36d3274e7e0d
l_out-6	6	1	1024x1x1x1	4096	pos1/l_out-6.f32	66904a70ef788298c54a6f0ad11679eec9e0b6dbf66a8e1f57d58c43a5989c82
l_out-7	7	1	1024x1x1x1	4096	pos1/l_out-7.f32	390c1d0388ce785bf6e86b360cd9d1a8e48133dde5b011695bd83b918da7cfb3
l_out-8	8	1	1024x1x1x1	4096	pos1/l_out-8.f32	4c33228dc7a83fc3f8eb5fc5bf9e6f5d957e362e1bf4a94a3db39058092f2695
l_out-9	9	1	1024x1x1x1	4096	pos1/l_out-9.f32	327616af9eeda86d355b14db8c5c114eaf361d86db841a90c9bb81f109141e0e
l_out-10	10	1	1024x1x1x1	4096	pos1/l_out-10.f32	05690bddfdf70be98fd13629072c8da57a411c25f41835539ec45d1c38e093ce
l_out-11	11	1	1024x1x1x1	4096	pos1/l_out-11.f32	a6efbe049e0a3a9729708d503b5245aa61d3b385b8a0490aa311a204ecdc7657
l_out-12	12	1	1024x1x1x1	4096	pos1/l_out-12.f32	71f87e084db03758ad4369632aa6759677ac80321262e5bde4404da3e3e593f6
l_out-13	13	1	1024x1x1x1	4096	pos1/l_out-13.f32	f1c0365d6e5683eb573f0171d498bbb30ad5c3067f9b2179ae6ba8cef1a080cf
l_out-14	14	1	1024x1x1x1	4096	pos1/l_out-14.f32	931e0f2b7e20de95b0e99d69c0e71d5ec53444713aabe7f4a856c3a37462b4b1
l_out-15	15	1	1024x1x1x1	4096	pos1/l_out-15.f32	69265c432b797a10f421f7fd55d35303d5bb58db49c7954811ee653bc1cd339d
l_out-16	16	1	1024x1x1x1	4096	pos1/l_out-16.f32	5cb63321f0b7fe07734e13c73cfa1b73bc5a2201250a757ee869cb57ada15db8
l_out-17	17	1	1024x1x1x1	4096	pos1/l_out-17.f32	493c717623dc3e0dd941c87b8a62bb997bd051b894ed582883914debac38ea39
l_out-18	18	1	1024x1x1x1	4096	pos1/l_out-18.f32	354b09e8674d73e077471dc4e65562efea5b8452e469baaa5db72aa49342ef75
l_out-19	19	1	1024x1x1x1	4096	pos1/l_out-19.f32	c1eece04e877228fdeb7c06b279ba715740d125d3f0797251450c55134794498
l_out-20	20	1	1024x1x1x1	4096	pos1/l_out-20.f32	478804bc16a73e13302394cc8a46ee46146a593ffe83bae3069d71c97dce8d59
l_out-21	21	1	1024x1x1x1	4096	pos1/l_out-21.f32	32b8f728426ec0053d67691b2372ccae7c76ae0b6078f434d90ada2eea42a00f
l_out-22	22	1	1024x1x1x1	4096	pos1/l_out-22.f32	4ccec22d555307a80d7ac077b679fb96ae9787d59f8b1ecd2a61ea4ecd91f6fd
l_out-23	23	1	1024x1x1x1	4096	pos1/l_out-23.f32	854999f8838d5844d304cefdbb0bfde9a349fe848d1a3f1871c6db9c845d0993
result_norm	-1	1	1024x1x1x1	4096	pos1/result_norm.f32	5f74e94b84b55a7eb67d38bebd4ac10a804d224f72914ccff2199d5ae92c559a
result_output	-1	1	248320x1x1x1	993280	pos1/result_output.f32	2f6f292d3c844555ad64882549d19b87301dc1b300e3f0cf99f8cfcd29cadb59
model.input_embed	-1	2	1024x1x1x1	4096	pos2/model.input_embed.f32	22ba0638f8f48fed37cbac68b016766320ff53ab3bc682d8402bff200162b931
l_out-0	0	2	1024x1x1x1	4096	pos2/l_out-0.f32	7674d3692761581da326d7e20d31c3f9b0247697a77075a33e6074e539c9ee9f
l_out-1	1	2	1024x1x1x1	4096	pos2/l_out-1.f32	e0126f6ff56b8708c2929a1e1f144775d0acb6eb45cac203a7e77670d5410211
l_out-2	2	2	1024x1x1x1	4096	pos2/l_out-2.f32	a398cc4c0e0a800c2899c9e76c151064ba85c99a31fda9f6ef5b0ade415a084e
l_out-3	3	2	1024x1x1x1	4096	pos2/l_out-3.f32	8aff6bc5e666bbabd331a8e5cada2273fe6333b70862504dec843932e2d0a33a
l_out-4	4	2	1024x1x1x1	4096	pos2/l_out-4.f32	1abc2b1909a4c16910fd093ef06170d7eb316290ac52a2647250fa24ac349f6a
l_out-5	5	2	1024x1x1x1	4096	pos2/l_out-5.f32	f4f97c806c2bee44c91bcdfd331b96a7fa9604dc6d4ee75094d63a9f66e71663
l_out-6	6	2	1024x1x1x1	4096	pos2/l_out-6.f32	dc882a9c51ad6b9fcaeab56ca9a975abdb98263a91e33a64b1c52bd1ac9284ff
l_out-7	7	2	1024x1x1x1	4096	pos2/l_out-7.f32	26494f2124dcf91aa85220576167728274a2256c3df9088ac8d5af28612cc133
l_out-8	8	2	1024x1x1x1	4096	pos2/l_out-8.f32	8619acd35ed9ffbbe1cbd13a09072ae091572cf7796df88c087b91513a493138
l_out-9	9	2	1024x1x1x1	4096	pos2/l_out-9.f32	e06a9f1896959195e01dc8232b96a496afcc4c14d9938f7cba6be8c577d98992
l_out-10	10	2	1024x1x1x1	4096	pos2/l_out-10.f32	d1fc2b8c781557b303cd2b5940913d82cad9625c908d276f5140f4749b0916af
l_out-11	11	2	1024x1x1x1	4096	pos2/l_out-11.f32	610d11395a8fb8fe5af691b0c41a85e927cb99f1d0c6682eab7bd81336eefcd4
l_out-12	12	2	1024x1x1x1	4096	pos2/l_out-12.f32	a97a7ee316ea6282466412a5970d52f45f6c73675f1e3fd760b64099f175146f
l_out-13	13	2	1024x1x1x1	4096	pos2/l_out-13.f32	e18792ffb89871f40c440a88ba3ee9c6e458431e35b45ddfda809db16a12698d
l_out-14	14	2	1024x1x1x1	4096	pos2/l_out-14.f32	c83d21c6d764373e0d3af11ecb7af8a038cdaad95c2e8a42f32a9d641290eb1b
l_out-15	15	2	1024x1x1x1	4096	pos2/l_out-15.f32	805910b1f22fce6b0c52f6649340abc5bb3ac47d2c654c1cfebcf05bda98c943
l_out-16	16	2	1024x1x1x1	4096	pos2/l_out-16.f32	fa15a8b373be12b99645983d5d5265857a73e94362cc41cb082bdea37ab91c30
l_out-17	17	2	1024x1x1x1	4096	pos2/l_out-17.f32	fac935eecdafabf6b6bdb3ce04acdfeb3194123170a3f9a9b0ae3524a0a86529
l_out-18	18	2	1024x1x1x1	4096	pos2/l_out-18.f32	0820c58baa779c39338db21875e3bd49be9c13025a68075233b6b8daf7f807ff
l_out-19	19	2	1024x1x1x1	4096	pos2/l_out-19.f32	4f37c0b006be25fc3ed99060c2764ff2ecd0c4d6e4b3d332d1f5b90a8a896730
l_out-20	20	2	1024x1x1x1	4096	pos2/l_out-20.f32	fa366c6e0fd741051020f3369a263e2eaaabe93607f825b54db3e1ade1ae8605
l_out-21	21	2	1024x1x1x1	4096	pos2/l_out-21.f32	ebee4b2f023d26aa941b04b20c67dd936a79fd78406eba0123d63ab7ad6efc60
l_out-22	22	2	1024x1x1x1	4096	pos2/l_out-22.f32	05859b05a4713e4f546ca1aec2412c1a54226dbc42795f5b4f9af5737d2f1399
