name	layer	pos	n	file	sha256
attn_residual	22	0	1024	pos0/attn_residual-22.f32	afcd8047da35b095c79d865cad746f359fcc8601e9de365d53e62a149d7da292
attn_post_norm	22	0	1024	pos0/attn_post_norm-22.f32	98d018130c0e1376c4c51c0d10646a164d685ffa6e66008a1f2c51d549fc1cda
ffn_out	22	0	1024	pos0/ffn_out-22.f32	b162f7feaac165f38ea4c786e5da3a4fefd166671fa67dfd251018c2098fc509
l_out	22	0	1024	pos0/l_out-22.f32	3a9b870fe081bed7c41ee8885cfd7435347d74464462b4ab227b4bd780828eeb
attn_norm	23	0	1024	pos0/attn_norm-23.f32	e363cf37ade225eb5dd34a26588bac2fff3afea07fc4435c9860c6473a326d9d
attn_pregate	23	0	2048	pos0/attn_pregate-23.f32	eec621b18c519c0596669affde3aa6516076d565674cb7fb6ba199b76254183f
attn_gated	23	0	2048	pos0/attn_gated-23.f32	06ec2fb17aebd01bfbab467ab72edb9ddb8590518631382840d844dcd1dd5a19
attn_output	23	0	1024	pos0/attn_output-23.f32	eb015626f80cae21fd863641ed885d15835a7fa93269baba2e81cc871f702944
attn_residual	23	0	1024	pos0/attn_residual-23.f32	580fbd8327f64a9f2ff44592c800d4b31dadfd9bff3334d2dba1f3946804ef19
attn_post_norm	23	0	1024	pos0/attn_post_norm-23.f32	978a52b413e0b9d0c7e64f17e950dee46d614d5aee62a4a8416a81b091f85e3f
ffn_out	23	0	1024	pos0/ffn_out-23.f32	2e845f59d235e87093d999a41a62ca81afe1507544e0d706db484adc72b7bb82
l_out	23	0	1024	pos0/l_out-23.f32	6c4329b17a6d2483e3a35fcfcc40f0f48a1519b0c5b42c06bc78c5dfb8cb4aa3
result_norm	-1	0	1024	pos0/result_norm.f32	d86caaccecb2060fe05e00526bef0948fdfa4ae0433f49f3af779e2896b8d33d
result_output	-1	0	248320	pos0/result_output.f32	08bb854c6191b2527e6e36445ba44625406b441aa6cad8794eaf77381a02eac7
model.input_embed	-1	1	1024	pos1/model.input_embed.f32	b9fec06cea4b14fb090020ae1ec69a8df58ad272fccdd2bc47423ccc8d689538
attn_norm	0	1	1024	pos1/attn_norm-0.f32	3c18e4294c4019ec840bf442b43b7d26eddeea559e01c029ad8641376e0cc2fd
conv_output_silu	0	1	6144	pos1/conv_output_silu-0.f32	d8672cc6329987f2d2644bc8b75066099f85efad5765488919cbab651540956e
q_conv_predelta	0	1	2048	pos1/q_conv_predelta-0.f32	0afcb6c69dd01d0c97c9d334d597b001bccacd2054970c6d32c5a7d878e496d1
k_conv_predelta	0	1	2048	pos1/k_conv_predelta-0.f32	ef7c93fd08a73ebeee68e057b377f5baf003e4453c47737d9237884f3f80b898
v_conv_predelta	0	1	2048	pos1/v_conv_predelta-0.f32	a633a86a553233c8c3cd5cf6ce47eb7f4c2bba8545ff94d91e206a002cac18ee
a_softplus	0	1	16	pos1/a_softplus-0.f32	747e52aa9bb83af4d76b084cc4450c9ab470152cd2b03433398c2ac86d547f52
