name	layer	pos	shape	n_bytes	file	sha256
model.input_embed	-1	4	1024x1x1x1	4096	pos4/model.input_embed.f32	91c6f7d1de8e6d3f264160fa5da502086bf667fc541cc1133a6382f5895bd1ca
l_out-0	0	4	1024x1x1x1	4096	pos4/l_out-0.f32	75e4932e75c4933a22c4fdcf72c1c9ed7338634d4a92f969565b95511595bd5e
l_out-1	1	4	1024x1x1x1	4096	pos4/l_out-1.f32	930904993d4712c9400d25bf4cc16fbe5c22e3c6673ded3ed6daf0ae0e36d865
l_out-2	2	4	1024x1x1x1	4096	pos4/l_out-2.f32	cdd2379b7c517d25e5c6a0e4f5037890231263c07acd1738cb39da46de6c19c6
l_out-3	3	4	1024x1x1x1	4096	pos4/l_out-3.f32	60057226181f83b1dcda04c44815846af3e1eeaf7c99d8cc98f4c95855486ef0
l_out-4	4	4	1024x1x1x1	4096	pos4/l_out-4.f32	f57a158c63c517b310a76a4b14f8042f2ad951f3d69b171969c8f4311b333bc1
l_out-5	5	4	1024x1x1x1	4096	pos4/l_out-5.f32	372976a587e6cdd4bb23a3880c30d08256dd935d9ca4d19fe0aba0812a12ca14
l_out-6	6	4	1024x1x1x1	4096	pos4/l_out-6.f32	1f938c9f78b7d36f0b48d48b0db074b452fdf2f708fe61679b55242d300bd1f7
l_out-7	7	4	1024x1x1x1	4096	pos4/l_out-7.f32	d6de768f6a537b202c33db500fafa24b6b2123a4807d8ed3140ba269937dcdb2
l_out-8	8	4	1024x1x1x1	4096	pos4/l_out-8.f32	cc63147619dadc9f2b1a45c3dca6ee7f1978446c5aa5c9512f703ca17781315c
l_out-9	9	4	1024x1x1x1	4096	pos4/l_out-9.f32	661a39bbdce2e958c6db4987a3d4e1929ae2035e06d3c177858f84bb940c988a
l_out-10	10	4	1024x1x1x1	4096	pos4/l_out-10.f32	74d92010e411f4c26f4fb54fc84135e2ef9519a872098a89f1a4274268d1e161
l_out-11	11	4	1024x1x1x1	4096	pos4/l_out-11.f32	2c6323343552261cd7de61baecb4e7b05617c49df5c4d6396f090eaeb0e0ff01
