0 6.5907736 7.040261 1638400 84.855316
1 6.3312716 5.7898064 3276800 84.6118
2 5.992199 5.162611 4915200 84.86152
3 5.5937815 5.0116158 6553600 84.38739
4 5.413586 5.03568 8192000 84.49085
5 5.3924046 4.606654 9830400 84.686676
6 5.2209177 4.7497644 11468800 84.421814
7 5.1750903 4.972992 13107200 84.51097
8 5.071521 4.6300488 14745600 84.941154
9 5.0475974 4.344946 16384000 84.63998
10 5.0276184 4.64158 18022400 85.00375
11 5.1324697 4.458093 19660800 84.65271
12 4.938922 4.5852203 21299200 84.561386
13 4.928082 4.553799 22937600 84.73123
14 5.091523 4.3896675 24576000 84.46922
15 4.868787 4.3856316 26214400 84.63804
16 4.9289007 4.236639 27852800 84.39778
17 4.9975967 3.8669322 29491200 82.71678
18 5.295521 3.9924412 31129600 82.8224
19 4.812665 3.967145 32768000 82.780365
20 4.7110777 4.320162 34406400 82.86207
21 4.988335 4.474159 36044800 82.88668
22 4.768037 4.234904 37683200 82.87468
23 4.8180785 4.3546047 39321600 82.83354
24 4.879752 3.7077982 40960000 82.936195
25 5.000746 4.1420565 42598400 82.94414
26 4.8114185 4.2999134 44236800 82.81726
