label	pos	idx	tensor	layer	n	bit_equal	rel_l2	max_abs	llama_first4	apr_first4
orig	4	0	model.input_embed	-1	1024	1024	0.000000e+00	0.000000e+00	0.0102546215,-0.020509243,-0.0364608765,-0.0148122311	0.0102546215,-0.020509243,-0.0364608765,-0.0148122311
orig	4	1	attn_norm-0	0	1024	1024	0.000000e+00	0.000000e+00	1.12772536,-1.4603163,-3.07775044,-1.42213809	1.12772536,-1.4603163,-3.07775044,-1.42213809
orig	4	2	conv_output_silu-0	0	6144	6144	0.000000e+00	0.000000e+00	-0.00236968277,0.0145317502,0.037611559,-0.113674656	-0.00236968277,0.0145317502,0.037611559,-0.113674656
orig	4	3	q_conv_predelta-0	0	2048	557	1.012906e-07	5.960464e-08	-0.00612217188,0.0375433713,0.0971710011,-0.293683112	-0.00612217281,0.037543375,0.0971710086,-0.293683141
orig	4	4	k_conv_predelta-0	0	2048	747	9.578374e-08	1.192093e-07	0.0881717354,-0.112645395,-0.0111633986,0.00594236702	0.0881717429,-0.11264541,-0.0111633996,0.00594236748
orig	4	5	v_conv_predelta-0	0	2048	2048	0.000000e+00	0.000000e+00	-0.0088395467,-0.00937544927,-0.000724908372,0.0194534138	-0.0088395467,-0.00937544927,-0.000724908372,0.0194534138
orig	4	6	a_softplus-0	0	16	16	0.000000e+00	0.000000e+00	2.8895278,0.0011778092,0.0072390642,5.7669363	2.8895278,0.0011778092,0.0072390642,5.7669363
orig	4	7	gate-0	0	16	16	0.000000e+00	0.000000e+00	-3.73932672,-0.000154494934,-0.000864582951,-3.2730906	-3.73932672,-0.000154494934,-0.000864582951,-3.2730906
orig	4	8	beta_sigmoid-0	0	16	16	0.000000e+00	0.000000e+00	0.168792516,0.352823824,0.637644529,0.993865788	0.168792516,0.352823824,0.637644529,0.993865788
orig	4	9	state_predelta-0	0	262144	87248	1.044974e-07	1.192093e-07	-6.82867976e-05,-3.24258035e-05,-4.12315967e-05,1.54033896e-05	-6.82868122e-05,-3.24258035e-05,-4.12316003e-05,1.54033896e-05
orig	4	10	new_state-0	0	262144	76710	9.802806e-08	1.192093e-07	-0.000133248468,0.000167389502,1.56849619e-05,-8.50479591e-06	-0.000133248483,0.000167389517,1.56849637e-05,-8.50479591e-06
orig	4	11	attn_output-0	0	2048	376	1.761049e-07	1.303852e-08	-1.26600625e-07,-2.74729956e-07,-3.70372987e-07,6.62368791e-07	-1.26600568e-07,-2.74730183e-07,-3.70373129e-07,6.62368961e-07
orig	4	12	z-0	0	2048	2048	0.000000e+00	0.000000e+00	-2.63187838,-1.32995009,0.215324283,-1.38594782	-2.63187838,-1.32995009,0.215324283,-1.38594782
orig	4	13	final_output-0	0	2048	390	1.608749e-07	2.384186e-07	2.15380605e-05,7.56787122e-05,-4.0961022e-05,-0.000169753082	2.15380514e-05,7.56787704e-05,-4.09610366e-05,-0.000169753126
orig	4	14	linear_attn_out-0	0	1024	92	3.773873e-07	7.823110e-08	-0.751326323,0.00795625523,0.00532823801,0.0494123474	-0.751326382,0.00795627013,0.00532824546,0.0494123697
orig	4	15	attn_residual-0	0	1024	104	3.735403e-07	7.823110e-08	-0.741071701,-0.0125529878,-0.0311326385,0.0346001163	-0.741071761,-0.0125529729,-0.031132631,0.0346001387
orig	4	16	attn_post_norm-0	0	1024	117	4.239895e-07	1.788139e-06	-10.037034,-0.311870039,-0.795896888,0.866737127	-10.037035,-0.311869681,-0.795896709,0.866737723
orig	4	17	ffn_out-0	0	1024	107	2.291344e-07	1.862645e-08	0.209194347,-0.0197349563,-0.0383122563,0.00140387053	0.209194332,-0.0197349656,-0.0383122526,0.0014038696
orig	4	18	l_out-0	0	1024	88	4.005980e-07	7.823110e-08	-0.531877339,-0.0322879441,-0.0694448948,0.0360039882	-0.531877398,-0.0322879404,-0.0694448799,0.0360040069
