prompt	variant	frob_rel_l2	mean_pos_rel_l2	median_pos_rel_l2	gap_removed_frac_frob	gap_removed_frac_mean	pos_rel_l2
orig	off	0.044677	0.044208	0.038956	0.000000	0.000000	
orig	on	0.037667	0.038570	0.038220	0.156905	0.127530	
