prompt	variant	frob_rel_l2	mean_pos_rel_l2	median_pos_rel_l2	gap_removed_frac_frob	gap_removed_frac_mean	pos_rel_l2
p2	off	0.056881	0.057264	0.056987	0.000000	0.000000	
p2	on	0.052848	0.053273	0.052641	0.070899	0.069695	
