label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	0	l_out-20	20	linear_gated_deltanet	ffn	0.109991	0.118698	0.008707	0.993099	ffn_out-20	0.172624	0.984998
p4	0	attn_residual-21	21	linear_gated_deltanet	mixer	0.118698	0.132556	0.013858	0.991368	linear_attn_out-21	0.186337	0.983111
p4	0	l_out-21	21	linear_gated_deltanet	ffn	0.132556	0.146248	0.013692	0.989423	ffn_out-21	0.217922	0.976161
p4	0	attn_residual-22	22	linear_gated_deltanet	mixer	0.146248	0.141328	-0.004920	0.990155	linear_attn_out-22	0.187350	0.982581
p4	0	l_out-22	22	linear_gated_deltanet	ffn	0.141328	0.139477	-0.001851	0.990501	ffn_out-22	0.168507	0.986123
p4	0	attn_residual-23	23	full_attention	mixer	0.139477	0.121203	-0.018274	0.992851	attn_output-23	0.076960	0.997141
p4	0	l_out-23	23	full_attention	ffn	0.121203	0.128266	0.007063	0.992050	ffn_out-23	0.136227	0.990748
p4	0	result_norm	-1	-	final_norm	0.128266	0.170050	0.041784	0.985450	-	-	-
p4	1	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.039963	0.039963	0.999204	linear_attn_out-0	0.041934	0.999122
p4	1	l_out-0	0	linear_gated_deltanet	ffn	0.039963	0.053324	0.013361	0.998590	ffn_out-0	0.063411	0.997988
p4	1	attn_residual-1	1	linear_gated_deltanet	mixer	0.053324	0.053683	0.000359	0.998566	linear_attn_out-1	0.064018	0.998125
p4	1	l_out-1	1	linear_gated_deltanet	ffn	0.053683	0.064590	0.010907	0.997977	ffn_out-1	0.076211	0.997183
p4	1	attn_residual-2	2	linear_gated_deltanet	mixer	0.064590	0.062996	-0.001594	0.998023	linear_attn_out-2	0.062945	0.998145
p4	1	l_out-2	2	linear_gated_deltanet	ffn	0.062996	0.066006	0.003010	0.997825	ffn_out-2	0.086700	0.996237
p4	1	attn_residual-3	3	full_attention	mixer	0.066006	0.071865	0.005859	0.997422	attn_output-3	0.097727	0.995243
p4	1	l_out-3	3	full_attention	ffn	0.071865	0.081639	0.009774	0.996669	ffn_out-3	0.102079	0.994878
p4	1	attn_residual-4	4	linear_gated_deltanet	mixer	0.081639	0.082123	0.000484	0.996630	linear_attn_out-4	0.095779	0.995417
p4	1	l_out-4	4	linear_gated_deltanet	ffn	0.082123	0.083638	0.001515	0.996504	ffn_out-4	0.126666	0.991997
p4	1	attn_residual-5	5	linear_gated_deltanet	mixer	0.083638	0.084385	0.000747	0.996436	linear_attn_out-5	0.118687	0.992932
p4	1	l_out-5	5	linear_gated_deltanet	ffn	0.084385	0.092876	0.008491	0.995678	ffn_out-5	0.118608	0.992956
p4	1	attn_residual-6	6	linear_gated_deltanet	mixer	0.092876	0.090764	-0.002112	0.995873	linear_attn_out-6	0.096405	0.995380
p4	1	l_out-6	6	linear_gated_deltanet	ffn	0.090764	0.093271	0.002507	0.995689	ffn_out-6	0.112321	0.993816
p4	1	attn_residual-7	7	full_attention	mixer	0.093271	0.102511	0.009240	0.994743	attn_output-7	0.066827	0.997927
p4	1	l_out-7	7	full_attention	ffn	0.102511	0.110382	0.007871	0.993903	ffn_out-7	0.166907	0.986313
p4	1	attn_residual-8	8	linear_gated_deltanet	mixer	0.110382	0.109361	-0.001021	0.994027	linear_attn_out-8	0.118260	0.993244
p4	1	l_out-8	8	linear_gated_deltanet	ffn	0.109361	0.116684	0.007323	0.993178	ffn_out-8	0.161769	0.986903
p4	1	attn_residual-9	9	linear_gated_deltanet	mixer	0.116684	0.119168	0.002484	0.992880	linear_attn_out-9	0.116328	0.993756
p4	1	l_out-9	9	linear_gated_deltanet	ffn	0.119168	0.130294	0.011126	0.991481	ffn_out-9	0.201856	0.979455
p4	1	attn_residual-10	10	linear_gated_deltanet	mixer	0.130294	0.127014	-0.003280	0.991918	linear_attn_out-10	0.150884	0.988559
p4	1	l_out-10	10	linear_gated_deltanet	ffn	0.127014	0.134146	0.007132	0.991014	ffn_out-10	0.183012	0.983665
p4	1	attn_residual-11	11	full_attention	mixer	0.134146	0.136177	0.002031	0.990719	attn_output-11	0.140460	0.990086
p4	1	l_out-11	11	full_attention	ffn	0.136177	0.150396	0.014219	0.988898	ffn_out-11	0.202064	0.981207
p4	1	attn_residual-12	12	linear_gated_deltanet	mixer	0.150396	0.150056	-0.000340	0.988974	linear_attn_out-12	0.184975	0.982904
p4	1	l_out-12	12	linear_gated_deltanet	ffn	0.150056	0.170205	0.020149	0.986156	ffn_out-12	0.252149	0.969056
p4	1	attn_residual-13	13	linear_gated_deltanet	mixer	0.170205	0.169370	-0.000835	0.986253	linear_attn_out-13	0.218699	0.977189
p4	1	l_out-13	13	linear_gated_deltanet	ffn	0.169370	0.181578	0.012208	0.984381	ffn_out-13	0.249036	0.970345
p4	1	attn_residual-14	14	linear_gated_deltanet	mixer	0.181578	0.180195	-0.001383	0.984535	linear_attn_out-14	0.200589	0.980377
p4	1	l_out-14	14	linear_gated_deltanet	ffn	0.180195	0.175109	-0.005086	0.985456	ffn_out-14	0.212563	0.978322
p4	1	attn_residual-15	15	full_attention	mixer	0.175109	0.178920	0.003811	0.984822	attn_output-15	0.156001	0.988705
