label	pos	idx	tensor	layer	n	bit_equal	rel_l2	max_abs	llama_first4	apr_first4
p4	3	1298	final_output-10	10	2048	0	6.261134e-02	2.705057e-02	-0.00815654453,0.0379812643,-0.00190852559,0.0188375432	-0.00845949166,0.041675441,-0.00200605136,0.0217748489
p4	3	1299	linear_attn_out-10	10	1024	0	7.090202e-02	5.680531e-03	0.114823341,0.017804753,-0.00239211088,-0.0241387747	0.10914281,0.0182177592,-0.00306193321,-0.0238574687
p4	3	1300	attn_residual-10	10	1024	0	4.209744e-02	2.338237e-02	-0.633823216,0.0196850393,-0.00473031867,-0.0470143184	-0.61044085,0.0166220441,-0.000558944652,-0.0545434058
p4	3	1301	attn_post_norm-10	10	1024	0	4.508681e-02	3.304682e-01	-8.88348007,0.340578347,-0.0815782547,-0.866396427	-8.55301189,0.287491947,-0.00963636674,-1.00482225
p4	3	1302	ffn_out-10	10	1024	0	6.578809e-02	5.552381e-03	0.280993551,-0.0232501328,0.0290138479,0.0186430104	0.27544117,-0.0250334647,0.0284373276,0.0200022478
p4	3	1303	l_out-10	10	1024	0	4.364615e-02	1.782998e-02	-0.352829665,-0.0035650935,0.0242835283,-0.028371308	-0.334999681,-0.00841142051,0.0278783832,-0.0345411599
p4	3	1304	attn_norm-11	11	1024	0	4.252517e-02	3.081617e-01	-5.66728449,-0.0597270094,0.434467852,-0.559724331	-5.35912275,-0.140348747,0.496767104,-0.67868942
p4	3	1305	attn_pregate-11	11	2048	0	2.942652e-02	2.275335e-01	0.140084401,0.0799232721,0.115506113,0.0502538756	0.138791397,0.0749957934,0.120177023,0.0532800555
p4	3	1306	attn_gated-11	11	2048	0	4.056931e-02	2.391320e-02	0.00674809422,0.00430648448,0.00397357717,0.00367288222	0.00624685548,0.00383802829,0.00410582079,0.00393487187
p4	3	1307	attn_output-11	11	1024	0	7.109353e-02	7.821612e-03	-0.0873716325,-0.00619298033,-0.00588288158,-0.00750404224	-0.0795500204,-0.00654769782,-0.00540950522,-0.00638093986
p4	3	1308	attn_residual-11	11	1024	0	4.758311e-02	2.565157e-02	-0.440201283,-0.00975807384,0.0184006467,-0.0358753502	-0.414549708,-0.0149591183,0.022468878,-0.0409220979
p4	3	1309	attn_post_norm-11	11	1024	0	5.033264e-02	3.371344e-01	-5.70292759,-0.179348588,0.32271713,-0.677420735	-5.36579323,-0.27469492,0.39371419,-0.772024333
p4	3	1310	ffn_out-11	11	1024	0	7.308456e-02	9.757616e-03	-0.142223775,-0.0148431258,0.0048823338,0.0129533038	-0.148757488,-0.0158651788,0.00451117195,0.0154045047
p4	3	1311	l_out-11	11	1024	0	4.630643e-02	1.911789e-02	-0.582425058,-0.0246011987,0.0232829805,-0.0229220465	-0.563307166,-0.0308242962,0.0269800499,-0.0255175941
p4	3	1312	attn_norm-12	12	1024	0	4.818124e-02	3.989925e-01	-11.1174603,-0.529816389,0.522407234,-0.549422264	-10.7184677,-0.661735177,0.603441536,-0.60969758
p4	3	1313	conv_output_silu-12	12	6144	0	2.748226e-02	7.568699e-02	-0.00410658028,0.0925699994,0.0525575206,0.0110354936	-0.00536064524,0.0979359895,0.0522401482,0.0142405545
p4	3	1314	q_conv_predelta-12	12	2048	0	3.139321e-02	3.298417e-02	-0.0018433925,0.0415535159,0.0235924143,0.004953695	-0.00238995138,0.0436630733,0.0232903697,0.00634890562
p4	3	1315	k_conv_predelta-12	12	2048	0	2.838775e-02	1.959309e-02	-0.0892762467,-0.0292038638,-0.0353872143,-0.005388238	-0.0879442841,-0.0290859789,-0.0354565568,-0.00523960404
p4	3	1316	v_conv_predelta-12	12	2048	0	2.180937e-02	4.140076e-02	-0.0132619757,0.0100183031,0.0201403778,-0.0111748837	-0.0134765217,0.00991417095,0.020181343,-0.0112996697
p4	3	1317	a_softplus-12	12	16	0	3.955075e-02	1.333264e-02	0.0104819005,0.0470826067,0.0162215624,0.011449228	0.0106314709,0.0471099019,0.0156898573,0.0121247647
p4	3	1318	gate-12	12	16	0	3.276977e-02	4.396636e-03	-0.00211295509,-0.0277867652,-0.00168323307,-0.00325473165	-0.00214310572,-0.0278028753,-0.00162806059,-0.0034467699
p4	3	1319	beta_sigmoid-12	12	16	0	2.871336e-02	3.433168e-02	0.595619082,0.670716286,0.203792378,0.354279459	0.571706772,0.658860683,0.197294101,0.350454032
p4	3	1320	state_predelta-12	12	262144	1	3.604939e-03	1.042786e-02	-0.000456828275,9.72666094e-05,-0.000142661564,-0.000284024922	-0.000451495027,9.65311192e-05,-0.000141590135,-0.000281628512
p4	3	1321	new_state-12	12	262144	0	7.703924e-03	1.408637e-02	9.77280724e-05,0.000278151245,7.70717452e-05,-0.000250013545	8.59117717e-05,0.000273742335,7.49899482e-05,-0.000249065197
p4	3	1322	attn_output-12	12	2048	0	1.821456e-02	2.567224e-03	-7.15688802e-05,5.1170271e-05,6.97914002e-05,-5.37003325e-05	-7.07722429e-05,4.97511792e-05,6.73228133e-05,-5.27998709e-05
p4	3	1323	z-12	12	2048	0	2.016862e-02	1.986747e-01	-0.419642776,-0.13793686,-0.742968857,-0.0183618441	-0.425084293,-0.132254019,-0.720187724,-0.0510897785
p4	3	1324	final_output-12	12	2048	0	6.419149e-02	8.021510e-02	0.00959017687,-0.00277758413,-0.0111492174,0.00040676081	0.00959237572,-0.00260190596,-0.0106060207,0.00109641626
p4	3	1325	linear_attn_out-12	12	1024	0	6.760306e-02	7.273339e-03	-0.0952597633,0.00786060095,0.0144119728,0.00947603211	-0.102533102,0.00821914896,0.0134073552,0.0109874513
p4	3	1326	attn_residual-12	12	1024	0	4.527633e-02	1.184458e-02	-0.677684844,-0.0167405978,0.0376949534,-0.0134460144	-0.665840268,-0.0226051472,0.0403874069,-0.0145301428
p4	3	1327	attn_post_norm-12	12	1024	0	4.831410e-02	1.732430e-01	-7.89355659,-0.301703423,0.621461689,-0.237457663	-7.72671127,-0.405878723,0.663371503,-0.255647868
p4	3	1328	ffn_out-12	12	1024	0	7.890387e-02	7.810786e-03	-0.100530222,-0.0120444205,-0.0203823205,0.00146593526	-0.0927194357,-0.0139020216,-0.0215753876,0.00209214166
p4	3	1329	l_out-12	12	1024	0	4.766494e-02	1.965535e-02	-0.778215051,-0.0287850183,0.0173126329,-0.0119800791	-0.758559704,-0.0365071669,0.0188120194,-0.0124380011
p4	3	1330	attn_norm-13	13	1024	0	5.090206e-02	3.605728e-01	-13.838192,-0.580212533,0.355484545,-0.274093121	-13.4776192,-0.735262513,0.385955006,-0.284336567
p4	3	1331	conv_output_silu-13	13	6144	0	2.767461e-02	1.223001e-01	0.195080668,-0.0831419975,0.0269465204,-0.0500287525	0.197891146,-0.0796196982,0.027332522,-0.0502302758
p4	3	1332	q_conv_predelta-13	13	2048	0	3.135139e-02	2.138599e-02	0.127800226,-0.0544675514,0.0176530629,-0.0327745751	0.13120161,-0.0527877696,0.0181214307,-0.0333026163
p4	3	1333	k_conv_predelta-13	13	2048	0	3.895963e-02	2.270799e-02	-0.0108406991,0.00697696954,-0.0143264476,0.197678238	-0.0112419594,0.00695665972,-0.00364028709,0.220055252
p4	3	1334	v_conv_predelta-13	13	2048	0	4.741944e-02	6.264144e-02	-0.00616611168,-0.0120148528,-0.0060177967,0.000816115469	-0.00556590408,-0.0121659879,-0.00740985479,0.000896669342
p4	3	1335	a_softplus-13	13	16	0	2.634478e-02	3.066385e-02	0.0957626626,0.0962114483,0.381994963,0.0961001366	0.0985313505,0.0950184241,0.37930581,0.0983655229
p4	3	1336	gate-13	13	16	0	3.255711e-02	8.467592e-03	-0.0257741716,-0.110738702,-0.192079127,-0.0230048075	-0.0265193544,-0.109365538,-0.190726936,-0.0235471036
p4	3	1337	beta_sigmoid-13	13	16	0	2.212496e-02	2.697009e-02	0.460119963,0.640065789,0.545661867,0.477387637	0.453882575,0.630870521,0.541445017,0.473599106
p4	3	1338	state_predelta-13	13	262144	0	1.153785e-02	4.485821e-03	4.08341803e-05,-5.59021064e-05,0.000178179631,0.00075799413	4.09128988e-05,-5.95165948e-05,0.000195119355,0.000815201376
p4	3	1339	new_state-13	13	262144	0	2.951778e-02	1.822332e-02	6.38332203e-05,-6.99503507e-05,0.000205413206,0.000300377316	6.11566065e-05,-7.11486282e-05,0.000196914814,0.000376648444
