label	pos	layer	kernel	qtype	n	K(llama_in)==llama_out_bits	K(apr_in)==apr_out_bits	in_rel_l2	K_out_rel_l2	amplification	out_rel_l2_dumps
p4	1	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.944e-02	4.030e-02	1.0	4.030e-02
p4	1	8	attn_norm->z	Q4_K	2048	2048	2048	4.765e-02	2.242e-02	0.5	2.242e-02
p4	1	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.529e-02	5.579e-02	1.6	5.579e-02
p4	1	9	attn_norm->z	Q4_K	2048	2048	2048	5.496e-02	2.416e-02	0.4	2.416e-02
p4	1	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.807e-02	5.645e-02	1.2	5.645e-02
p4	1	10	attn_norm->z	Q4_K	2048	2048	2048	6.132e-02	2.448e-02	0.4	2.448e-02
p4	1	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.224e-02	7.511e-02	1.0	7.511e-02
p4	1	12	attn_norm->z	Q4_K	2048	2048	2048	7.330e-02	2.958e-02	0.4	2.958e-02
p4	1	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.389e-02	1.011e-01	1.4	1.011e-01
p4	1	13	attn_norm->z	Q4_K	2048	2048	2048	7.836e-02	4.457e-02	0.6	4.457e-02
p4	1	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.653e-02	1.009e-01	1.0	1.009e-01
p4	1	14	attn_norm->z	Q4_K	2048	2048	2048	8.212e-02	4.371e-02	0.5	4.371e-02
p4	1	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.552e-02	9.955e-02	1.3	9.955e-02
p4	1	16	attn_norm->z	Q4_K	2048	2048	2048	7.971e-02	5.284e-02	0.7	5.284e-02
p4	1	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.435e-02	6.632e-02	1.2	6.632e-02
p4	1	17	attn_norm->z	Q4_K	2048	2048	2048	7.850e-02	5.017e-02	0.6	5.017e-02
p4	1	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	8.147e-02	1.193e-01	1.5	1.193e-01
p4	1	18	attn_norm->z	Q4_K	2048	2048	2048	8.410e-02	5.387e-02	0.6	5.387e-02
p4	1	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.883e-02	1.150e-01	1.2	1.150e-01
p4	1	20	attn_norm->z	Q4_K	2048	2048	2048	1.005e-01	6.398e-02	0.6	6.398e-02
p4	1	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.154e-01	1.197e-01	1.0	1.197e-01
p4	1	21	attn_norm->z	Q4_K	2048	2048	2048	1.101e-01	8.822e-02	0.8	8.822e-02
p4	1	21	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.506e-01	1.727e-01	1.1	1.727e-01
p4	1	22	attn_norm->z	Q4_K	2048	2048	2048	1.395e-01	8.734e-02	0.6	8.734e-02
p4	1	22	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.377e-01	1.573e-01	1.1	1.573e-01
p4	2	0	attn_norm->z	Q4_K	2048	2048	2048	0.000e+00	0.000e+00	nan	0.000e+00
p4	2	0	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.814e-07	8.656e-07	4.8	8.656e-07
p4	2	1	attn_norm->z	Q4_K	2048	2048	2048	8.792e-07	2.348e-07	0.3	2.348e-07
p4	2	1	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.219e-07	5.961e-07	1.1	5.961e-07
p4	2	2	attn_norm->z	Q4_K	2048	2048	2048	7.374e-07	1.723e-07	0.2	1.723e-07
p4	2	2	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.403e-07	4.880e-07	1.4	4.880e-07
p4	2	4	attn_norm->z	Q4_K	2048	2048	2048	1.011e-02	9.789e-03	1.0	9.789e-03
p4	2	4	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.207e-02	3.697e-02	1.7	3.697e-02
p4	2	5	attn_norm->z	Q4_K	2048	2048	2048	1.918e-02	1.629e-02	0.8	1.629e-02
p4	2	5	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.850e-02	4.473e-02	1.2	4.473e-02
p4	2	6	attn_norm->z	Q4_K	2048	2048	2048	2.645e-02	1.621e-02	0.6	1.621e-02
p4	2	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.529e-02	4.729e-02	1.0	4.729e-02
p4	2	8	attn_norm->z	Q4_K	2048	2048	2048	3.965e-02	1.851e-02	0.5	1.851e-02
p4	2	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.095e-02	6.869e-02	1.7	6.869e-02
p4	2	9	attn_norm->z	Q4_K	2048	2048	2048	4.582e-02	2.119e-02	0.5	2.119e-02
p4	2	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.790e-02	8.117e-02	1.2	8.117e-02
p4	2	10	attn_norm->z	Q4_K	2048	2048	2048	4.885e-02	1.887e-02	0.4	1.887e-02
p4	2	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.076e-02	8.818e-02	1.2	8.818e-02
p4	2	12	attn_norm->z	Q4_K	2048	2048	2048	4.987e-02	2.219e-02	0.4	2.219e-02
p4	2	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.554e-02	9.692e-02	1.7	9.692e-02
p4	2	13	attn_norm->z	Q4_K	2048	2048	2048	5.577e-02	2.947e-02	0.5	2.947e-02
p4	2	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	8.546e-02	9.787e-02	1.1	9.787e-02
p4	2	14	attn_norm->z	Q4_K	2048	2048	2048	5.960e-02	3.011e-02	0.5	3.011e-02
p4	2	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.705e-02	7.967e-02	1.2	7.967e-02
p4	2	16	attn_norm->z	Q4_K	2048	2048	2048	5.752e-02	3.077e-02	0.5	3.077e-02
p4	2	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.365e-02	7.601e-02	1.0	7.601e-02
p4	2	17	attn_norm->z	Q4_K	2048	2048	2048	5.321e-02	3.194e-02	0.6	3.194e-02
p4	2	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.812e-02	9.749e-02	1.2	9.749e-02
p4	2	18	attn_norm->z	Q4_K	2048	2048	2048	5.584e-02	3.390e-02	0.6	3.390e-02
p4	2	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.805e-02	8.549e-02	1.1	8.549e-02
p4	2	20	attn_norm->z	Q4_K	2048	2048	2048	5.991e-02	3.737e-02	0.6	3.737e-02
p4	2	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.831e-02	1.025e-01	1.3	1.025e-01
p4	2	21	attn_norm->z	Q4_K	2048	2048	2048	6.776e-02	5.277e-02	0.8	5.277e-02
p4	2	21	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.219e-01	1.412e-01	1.2	1.412e-01
p4	2	22	attn_norm->z	Q4_K	2048	2048	2048	7.882e-02	4.418e-02	0.6	4.418e-02
p4	2	22	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.121e-01	1.369e-01	1.2	1.369e-01
p4	3	0	attn_norm->z	Q4_K	2048	2048	2048	0.000e+00	0.000e+00	nan	0.000e+00
p4	3	0	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.629e-07	5.470e-07	3.4	5.470e-07
p4	3	1	attn_norm->z	Q4_K	2048	2048	2048	2.439e-04	7.944e-04	3.3	7.944e-04
p4	3	1	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.173e-03	4.873e-03	4.2	4.873e-03
p4	3	2	attn_norm->z	Q4_K	2048	2048	2048	1.221e-02	9.451e-03	0.8	9.451e-03
p4	3	2	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.101e-02	2.538e-02	2.3	2.538e-02
p4	3	4	attn_norm->z	Q4_K	2048	2048	2048	4.366e-02	2.389e-02	0.5	2.389e-02
p4	3	4	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.609e-02	6.578e-02	1.4	6.578e-02
